Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Caractéristicas;Nota Comentário;Data Comentário;Comentário;Link
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;02/05/2025;É bom pra caramba eu recomendo, pq tem como pagar com dinheiro, pix, cartão de crédito ou débito e etc.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
2;2;Acessórios para Veículos;MLB21296222;Capacete Aberto Pro Tork New Liberty Three Abs Micrométrico Viseira Simples 58cm Preto Fosco;139,00;4,7;51197;{'Cor': 'Preto-fosco', 'Tamanho do capacete': '58', 'Acabamento': 'Brilhante'};5;06/04/2018;O capacete é bonito, razoavelmente bem acabado e feito com bons materiais. A viseira tem 2 mm de espessura, mas é cristalina e não distorce (nem o meu nem o da minha esposa apresentaram deformação). O casco interno do capacete é maior do que o padrão e se você comprar o número correto vai ficar folgado. Outros usuários avisaram sobre isso e comprei os dois capacetes um número menor que o padrão e vestiram muito bem. O ponto negativo é a falta de um material mais largo e confortável na cinta jugular. É um ótimo segundo capacete, ideal para passeios dentro da cidade. Não recomendo andar com ele em vias expressas ou estradas. A avaliação leva em conta que o capacete custa menos do que um capacete de bicicleta! não espere grande proteção ou materiais luxuosos, mas realmente é um excelente custo benefício, por isso dou 5 estrelas!.;https://www.mercadolivre.com.br/capacete-aberto-pro-tork-new-liberty-three-abs-micrometrico-viseira-simples-58cm-preto-fosco/p/MLB21296222
3;3;Acessórios para Veículos;MLB23417953;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/rosa Tamanho Do Capacete 60 Fosco;228,71;4,6;20726;{'Cor': 'Cinza/Rosa', 'Tamanho do capacete': '60'};4;04/05/2021;"Opinião sincera de quem pesquisou muito e estava com receio de comprar este cap. Nunca tive um escamoteável e sempre quiz.
Para a cidade o cap é top, lindo de mais, seguro, rocob muito prático e fácil de abrir ou fechar, leve, muito confortável, acertaram no produto. Escolha perfeita.
Para a estrada, ""utilizo para trabalhar, rodo 50 km na pista dia, média de 100 km velocidade"".
O cap é leve não pesa no fim do trajeto por causa do impacto do vento, muito confortável ajusta certinho, a cinta é de fácil remoção. Muito pouco a reclamar.
Pontos negativo somente para a pista, na cidade não tem pontos negativos.
Vento. Entra vento sim, pouco mas entra, não tem quebra vento de queixo e de nariz, nas orelhas o vento não chega, ótima vedação das espumas.
Barulho, pouca coisa, as espumas são espessas e fica um vão na orelha que não aperta a orelha e o vento não chega, frio na orelha é zero.
Chuva. Não sei se entra água pq não peguei chuva, mas acho q vai entrar sim, um pequeno vão em cima da viseira.
Visibilidade. Tenho um outro cap, peels, a viseira dele é maior, já este é menor por causa da queixeira, demorei para me adaptar nisto. Mas já me acostumei.
Tamanho, peguei um número abaixo, o peels que já tenho é 58, este peguei 56, perfeito.
Resumo, para a cidade nota 10, sem erro. Para a pista nota 9.
Agora se vc quer algo melhor, zero de vento, zero de barulho, óculos de sol interno, então gasta 450, 500 contos em um outro cap. Hoje eu paguei 169,90 na promoção.
Vlw, abraços.";https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzarosa-tamanho-do-capacete-60/p/MLB23417953
4;4;Acessórios para Veículos;MLB58079464;Carregador Inteligente De Bateria Automotiva Carro Moto Caminhão Jet Sky Empilhadeira 12v 6 Amperes Bivolt 110/220 V - Thop Tech;53,97;4,8;3293;{'Cor': 'Preto'};5;23/10/2025;Realmente funciona! minha bateria nova descarregou pois o carro ficou mais de um mês parado. Estava com 11. 9v e não dava partida, segundo o aparelho tinha 45% de carga. Agora já está em 13v, mas vou deixar mais algumas horas até completar o ciclo. Tem um visor que indica porcentagem e a voltagem e também quando está com a carga completa. Tem uma pequena ventoinha para que o aparelho não aqueça muito durante as horas que fica operando.;https://www.mercadolivre.com.br/carregador-inteligente-de-bateria-automotiva-carro-moto-caminho-jet-sky-empilhadeira-12v-6-amperes-bivolt-110220-v-thop-tech/p/MLB58079464
5;5;Acessórios para Veículos;MLB62564330;Carregador Inteligente De Bateria Automotiva 12v 6a Recupera Baterias 4ah A 100ah Carro Moto Lancha Jetski Caminhão Proteção Contra Curto Polaridade Invertida Sobrecarga Rápido Seguro;59,90;4,8;962;{'Cor': 'Preto'};4;21/12/2025;Funcionando bem no primeiro teste, mas não acompanha manual e garantia em português e os cabos são bem curtos.;https://www.mercadolivre.com.br/carregador-inteligente-de-bateria-automotiva-12v-6a-recupera-baterias-4ah-a-100ah-carro-moto-lancha-jetski-caminho-proteco-contra-curto-polaridade-invertida-sobrecarga-rapido-seguro/p/MLB62564330
6;6;Acessórios para Veículos;MLB-3782053541;Limpador De Para Brisa Dianteiro Palheta Original Bosch Par;78,72;4,8;15612;{'ESCOLHA': '206 1999 À 2010', 'Cor': 'Escolha'};5;21/12/2024;Cara, surreal a qualidade desse limpador. Sempre comprei o baratinho mas esse me surpreendeu. Estava instalando e começou a chover leve. Tomei uma coça pq ele entra diferente dos outros [lá ele] mas já fui fazer o testechove hoje no rio e sou emocionado. Meu amigo, o vidro ficou seco, não foi úmido, molhadinho ou sei lá o que. Ficou seco! bosch é bosch, não tem jeito. Preço justo. Não conhecia a linha e nem costumo avaliar os produtos aqui no site, mas esse limpador me impressionou.;https://produto.mercadolivre.com.br/MLB-3782053541-limpador-de-para-brisa-dianteiro-palheta-original-bosch-par-_JM
7;7;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;33,17;4,9;11520;{};5;21/07/2024;Excelente, faz uma espuma bem densa, uso a proporção de 50ml/1000ml de água.;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583
8;8;Acessórios para Veículos;N/A;Quebra Sol Para Brisa Carro Protetor Solar Guarda Chuva;33,97;4,4;11050;{};4;26/10/2023;"Tampa muito bem, mas o calor dentro do carro continua o mesmo. De qualquer forma esfriar não é a intenção, então o produto cumpre o que diz.
Sobre a qualidade, é bem feito, tem um acabamento bacana. Mas só o tempo irá dizer se é durável.";https://www.mercadolivre.com.br/quebra-sol-para-brisa-carro-protetor-solar-guarda-chuva/up/MLBU1965549689
9;9;Acessórios para Veículos;N/A;Maçarico Culinário Portátil Cozinha Gourmet +2 Refil Elétrico;35,57;4,8;1619;{};5;08/11/2025;Acabou de chegar e eu ja testei e adorei, excelente custo benefício e funcionou perfeitamente.;https://www.mercadolivre.com.br/macarico-culinario-portatil-cozinha-gourmet-2-refil/up/MLBU3104629412
10;10;Acessórios para Veículos;N/A;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;27,90;4,5;10830;{};4;28/08/2023;Funcionou com o cabo adaptador porém o único aplicativo que forneceu um pouco mais de informação e menu mais intuitivo fo car scanner nós demais q testei não conectou e outros que conetaramforam menus confusos.;https://www.mercadolivre.com.br/scanner-automotivo-bluetooth-obd2-eml-327-android-ios-obdii/up/MLBU1458199008
